Year,Month,Min,Max,Close
2016,October,72.5,76.88,75.74
2016,November,75.74,78.41,77.25
2016,December,77.25,79.98,78.8
2017,January,78.8,81.59,80.38
2017,February,79.26,81.68,80.47
2017,March,80.44,82.9,81.67
2017,April,81.65,84.13,82.89
2017,May,82.89,85.82,84.55
2017,June,83.16,85.7,84.43
2017,July,84.43,87.41,86.12
2017,August,84.44,87.02,85.73
2017,September,83.6,86.14,84.87
2017,October,83.25,85.79,84.52
2017,November,82.57,85.09,83.83
2017,December,83.83,86.79,85.51
2018,January,83.86,86.42,85.14
2018,February,83.3,85.84,84.57
2018,March,83.44,85.98,84.71
2018,April,83.74,86.3,85.02
2018,May,83,85.52,84.26
2018,June,81.33,84.26,82.57
2018,July,80.37,82.81,81.59
2018,August,79.82,82.26,81.04
2018,September,79.08,81.48,80.28
2018,October,80.28,83.12,81.89
